Parameter,0,1,2,3,4,5,6
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unmatched_applicants,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0,3449.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0
