Parameter,0,1,2,3,4,5,6,7,8,9,10,11
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
unmatched_applicants,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0,14018.0
