Parameter,0,1,2,3,4,5
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unmatched_applicants,9210.0,9210.0,9210.0,9210.0,9210.0,9210.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0
