Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unmatched_applicants,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0,7316.0
unfilled_spots,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
