Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
reviews_per_program,854.7428571428571,822.0,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,807.2285714285714,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,807.8,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,765.8,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
reviews_per_program,854.7428571428571,809.7714285714286,63.31428571428572,94.97142857142858,126.62857142857143,158.28571428571428,189.94285714285715,221.6,253.25714285714287,284.9142857142857,316.57142857142856,348.22857142857146,379.8857142857143,411.54285714285714,443.2,474.85714285714283,506.51428571428573,538.1714285714286,569.8285714285714,601.4857142857143,633.1428571428571,664.8,696.4571428571429,728.1142857142858,759.7714285714286,791.4285714285714,823.0857142857143
pct_interview_given_signal,0.0,0.9945848375451264,0.677797833935018,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_signal,0.0,0.9954873646209387,0.6814079422382672,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_signal,0.0,0.9891696750902527,0.680956678700361,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_signal,0.0,0.9981949458483754,0.6814079422382672,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_signal,0.0,0.9945848375451264,0.6800541516245487,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_signal,0.0,0.9990974729241877,0.6814079422382672,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_signal,0.0,0.9972924187725631,0.6814079422382672,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_signal,0.0,0.9936823104693141,0.6814079422382672,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_signal,0.0,0.990072202166065,0.6814079422382672,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_signal,0.0,0.9927797833935018,0.6814079422382672,0.4542719614921781,0.3407039711191336,0.27256317689530685,0.22713598074608904,0.19468798349664776,0.1703519855595668,0.15142398716405936,0.13628158844765342,0.12389235313423039,0.11356799037304452,0.10483199111357956,0.09734399174832388,0.09085439229843562,0.0851759927797834,0.08016564026332555,0.07571199358202968,0.07172715181455444,0.06814079422382671,0.06489599449888259,0.061946176567115194,0.05925286454245801,0.05678399518652226,0.05451263537906137,0.05241599555678978
pct_interview_given_nosignal,0.050474662388019786,0.01416273257428492,0.0002888086642599278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050474662388019786,0.014128019994445988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050474662388019786,0.014371008053318523,3.610108303249098e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050474662388019786,0.014023882254929187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050474662388019786,0.01416273257428492,0.00010830324909747292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050474662388019786,0.013989169675090252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050474662388019786,0.01405859483476812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050474662388019786,0.014197445154123854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050474662388019786,0.01433629547347959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_nosignal,0.050474662388019786,0.014232157733962789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_interview_given_application,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786,0.050474662388019786
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
