Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
unmatched_applicants,87.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,72.0,70.0,73.0,72.0,73.0,72.0,74.0,76.0,77.0,80.0,79.0,84.0,85.0,82.0,82.0,89.0
unmatched_applicants,89.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,73.0,73.0,72.0,73.0,74.0,78.0,80.0,81.0,78.0,83.0,84.0,85.0,89.0
unmatched_applicants,84.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,72.0,71.0,73.0,75.0,72.0,73.0,75.0,77.0,76.0,75.0,78.0,82.0,82.0,82.0,84.0,84.0
unmatched_applicants,87.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,70.0,70.0,72.0,72.0,75.0,76.0,72.0,75.0,76.0,81.0,80.0,79.0,84.0,83.0,86.0,87.0,85.0
unmatched_applicants,86.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,70.0,70.0,70.0,71.0,71.0,71.0,70.0,73.0,75.0,74.0,74.0,77.0,79.0,76.0,80.0,80.0,83.0,89.0,85.0,86.0
unmatched_applicants,86.0,71.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,72.0,71.0,71.0,74.0,73.0,74.0,73.0,76.0,76.0,74.0,82.0,78.0,81.0,82.0,83.0,86.0,82.0
unmatched_applicants,86.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,70.0,70.0,72.0,73.0,73.0,74.0,73.0,75.0,75.0,74.0,75.0,78.0,79.0,80.0,83.0,82.0,86.0,85.0
unmatched_applicants,90.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,70.0,72.0,70.0,72.0,71.0,72.0,72.0,71.0,73.0,73.0,77.0,78.0,75.0,78.0,78.0,82.0,86.0,86.0,84.0,83.0
unmatched_applicants,85.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,71.0,72.0,73.0,72.0,76.0,73.0,76.0,76.0,79.0,81.0,82.0,82.0,85.0,85.0,89.0
unmatched_applicants,87.0,72.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,74.0,73.0,75.0,75.0,73.0,74.0,73.0,76.0,79.0,79.0,81.0,85.0,87.0,81.0,87.0
