Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
unmatched_applicants,101.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,93.0,92.0,95.0,98.0,97.0,96.0,95.0,96.0,97.0,95.0,97.0,99.0,97.0,105.0,100.0,102.0,103.0,100.0,101.0,102.0,98.0
unmatched_applicants,107.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,91.0,93.0,95.0,95.0,97.0,97.0,97.0,97.0,98.0,100.0,97.0,98.0,101.0,98.0,101.0,100.0,105.0,102.0,99.0,103.0,101.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0,92.0,95.0,97.0,98.0,97.0,97.0,97.0,96.0,98.0,97.0,98.0,98.0,101.0,100.0,100.0,102.0,100.0,101.0,100.0,101.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,91.0,93.0,96.0,97.0,97.0,95.0,96.0,96.0,95.0,98.0,99.0,102.0,96.0,103.0,101.0,101.0,102.0,97.0,98.0,100.0,109.0
unmatched_applicants,100.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,94.0,96.0,97.0,97.0,96.0,96.0,97.0,98.0,96.0,98.0,98.0,98.0,97.0,100.0,99.0,102.0,101.0,101.0,106.0,101.0
unmatched_applicants,104.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,94.0,95.0,96.0,96.0,97.0,97.0,96.0,96.0,97.0,100.0,97.0,100.0,102.0,100.0,102.0,100.0,101.0,101.0,97.0,99.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,92.0,93.0,97.0,96.0,96.0,97.0,95.0,96.0,97.0,99.0,102.0,100.0,98.0,101.0,98.0,103.0,100.0,105.0,101.0,106.0
unmatched_applicants,98.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,93.0,95.0,97.0,97.0,95.0,96.0,97.0,95.0,98.0,97.0,96.0,97.0,102.0,97.0,103.0,104.0,102.0,103.0,103.0,103.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0,93.0,95.0,96.0,97.0,96.0,97.0,96.0,98.0,96.0,100.0,98.0,100.0,102.0,98.0,102.0,99.0,95.0,100.0,104.0,100.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,93.0,97.0,97.0,97.0,96.0,97.0,96.0,97.0,97.0,98.0,100.0,98.0,100.0,104.0,98.0,101.0,104.0,102.0,100.0,101.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,92.0,92.0,95.0,96.0,96.0,95.0,97.0,96.0,97.0,97.0,97.0,98.0,103.0,100.0,104.0,103.0,103.0,101.0,99.0,102.0,103.0
unmatched_applicants,109.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0,94.0,94.0,97.0,96.0,95.0,96.0,96.0,97.0,96.0,97.0,97.0,101.0,100.0,98.0,100.0,100.0,101.0,101.0,101.0,98.0
unmatched_applicants,100.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,90.0,92.0,93.0,95.0,98.0,96.0,97.0,96.0,94.0,95.0,99.0,97.0,99.0,99.0,101.0,102.0,100.0,99.0,97.0,102.0,100.0,102.0
unmatched_applicants,106.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0,94.0,95.0,96.0,95.0,93.0,97.0,97.0,97.0,98.0,100.0,98.0,104.0,100.0,107.0,101.0,101.0,99.0,101.0,102.0,101.0
unmatched_applicants,105.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,92.0,96.0,96.0,96.0,97.0,95.0,98.0,97.0,97.0,95.0,102.0,96.0,98.0,100.0,99.0,103.0,101.0,101.0,103.0,102.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0,94.0,96.0,97.0,95.0,96.0,96.0,98.0,95.0,97.0,98.0,97.0,101.0,102.0,101.0,105.0,103.0,101.0,96.0,97.0,101.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,92.0,94.0,93.0,95.0,95.0,96.0,96.0,95.0,95.0,96.0,99.0,100.0,103.0,102.0,102.0,105.0,100.0,97.0,99.0,102.0,106.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,91.0,94.0,96.0,96.0,97.0,97.0,96.0,96.0,97.0,95.0,99.0,99.0,98.0,102.0,102.0,100.0,104.0,100.0,99.0,105.0,94.0
unmatched_applicants,105.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,92.0,94.0,96.0,97.0,98.0,97.0,97.0,98.0,98.0,98.0,100.0,102.0,99.0,98.0,102.0,99.0,99.0,101.0,103.0,98.0
unmatched_applicants,104.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,92.0,95.0,96.0,97.0,97.0,96.0,98.0,98.0,95.0,97.0,99.0,96.0,102.0,100.0,103.0,100.0,98.0,102.0,98.0,103.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,95.0,96.0,96.0,98.0,97.0,97.0,98.0,97.0,97.0,98.0,100.0,99.0,101.0,101.0,99.0,101.0,100.0,101.0,101.0,101.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,94.0,96.0,96.0,97.0,95.0,95.0,97.0,96.0,98.0,95.0,98.0,101.0,104.0,103.0,98.0,102.0,99.0,100.0,95.0,102.0
unmatched_applicants,104.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,93.0,94.0,97.0,95.0,96.0,96.0,95.0,98.0,100.0,98.0,101.0,99.0,101.0,103.0,103.0,102.0,103.0,103.0,104.0,103.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,94.0,95.0,95.0,96.0,96.0,96.0,97.0,95.0,97.0,99.0,97.0,101.0,98.0,102.0,99.0,99.0,97.0,100.0,99.0,99.0
unmatched_applicants,103.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,94.0,95.0,96.0,97.0,96.0,95.0,97.0,96.0,98.0,95.0,99.0,103.0,102.0,102.0,105.0,102.0,100.0,100.0,99.0,102.0
unmatched_applicants,106.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,94.0,95.0,96.0,97.0,97.0,96.0,98.0,98.0,94.0,98.0,100.0,102.0,96.0,102.0,99.0,103.0,97.0,100.0,99.0,100.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,93.0,93.0,95.0,95.0,95.0,97.0,98.0,99.0,99.0,97.0,98.0,100.0,101.0,102.0,102.0,104.0,102.0,101.0,103.0,102.0
unmatched_applicants,104.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,91.0,93.0,95.0,94.0,97.0,97.0,97.0,97.0,99.0,98.0,99.0,99.0,98.0,101.0,102.0,100.0,101.0,102.0,102.0,101.0,97.0
unmatched_applicants,102.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.0,91.0,94.0,96.0,96.0,96.0,97.0,97.0,95.0,96.0,98.0,98.0,97.0,101.0,99.0,104.0,104.0,100.0,102.0,103.0,102.0,106.0
unmatched_applicants,101.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,92.0,92.0,95.0,95.0,97.0,95.0,97.0,95.0,98.0,97.0,96.0,97.0,99.0,105.0,98.0,100.0,98.0,99.0,99.0,105.0,101.0
unmatched_applicants,101.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,90.0,92.0,94.0,94.0,96.0,95.0,96.0,96.0,97.0,97.0,98.0,97.0,97.0,101.0,105.0,102.0,100.0,101.0,103.0,103.0,98.0,102.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,7.0,8.0,6.0,6.0,6.0,6.0,7.0,8.0,11.0,12.0,9.0,11.0,15.0,9.0,10.0,13.0,10.0,8.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,8.0,6.0,5.0,8.0,3.0,6.0,9.0,7.0,9.0,10.0,10.0,6.0,13.0,12.0,12.0,10.0,13.0,8.0
unfilled_spots,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,7.0,7.0,5.0,6.0,8.0,5.0,8.0,7.0,9.0,7.0,11.0,9.0,11.0,9.0,9.0,14.0,15.0,10.0
unfilled_spots,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,10.0,9.0,11.0,10.0,12.0,14.0,6.0,14.0,10.0,11.0,13.0
unfilled_spots,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,7.0,7.0,8.0,6.0,6.0,8.0,8.0,8.0,10.0,8.0,15.0,15.0,8.0,11.0,11.0,9.0,14.0,13.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,7.0,7.0,6.0,4.0,7.0,7.0,7.0,8.0,6.0,11.0,11.0,11.0,11.0,5.0,11.0,10.0,15.0,10.0
unfilled_spots,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,7.0,4.0,4.0,6.0,7.0,6.0,8.0,7.0,8.0,9.0,11.0,14.0,12.0,12.0,12.0,9.0,10.0,10.0
unfilled_spots,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,5.0,6.0,7.0,7.0,8.0,6.0,6.0,9.0,9.0,9.0,11.0,10.0,11.0,10.0,16.0,10.0,8.0,11.0,12.0
