Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
pct_interview_given_application,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702
pct_interview_given_application,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702
pct_interview_given_application,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702
pct_interview_given_application,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702,0.15643180349062702
pct_of_app_match_via_signal_given_matched,0.0,0.9504132231404959,0.995850622406639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9504132231404959,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9333333333333333,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9173553719008265,0.991701244813278,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9404255319148936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9421487603305785,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9421487603305785,0.9917355371900827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9411764705882353,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9421487603305785,0.9917355371900827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pct_of_app_match_via_signal_given_matched,0.0,0.9214876033057852,0.9958677685950413,0.9958677685950413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
